datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
103,C3-TP10,1393,2.704854,0.78476,20.21393,12.524127,30,0,15450,2.332235,1.5,1.5,11.9,13.9,12.9,5.762192,9.828428,9.828428,-0.472189,13.023131,0.526368
103,C4-TP9,1148,2.229126,0.759974,17.94643,12.488968,30,0,15450,2.141394,1.5,1.5,11.9,13.9,12.9,5.154207,9.493902,9.488676,-0.359317,12.95071,0.49315
104,C3-TP10,1507,2.720217,0.803132,30.0416,13.339861,30,0,16620,3.478347,1.5,1.5,12.7,14.7,13.7,8.583382,10.724618,10.702721,-0.330192,13.787874,0.51896
104,C4-TP9,1428,2.577617,0.801261,27.45455,13.248558,30,0,16620,3.192706,1.5,1.5,12.7,14.7,13.7,7.824477,10.640056,10.591036,-0.329065,13.701896,0.496932
105,C3-TP10,1320,2.645291,0.849636,25.39987,13.50444,30,0,14970,2.930314,1.5,1.5,12.8,14.8,13.8,7.25118,11.468182,11.479545,-0.142136,13.87865,0.466465
105,C4-TP9,1293,2.591182,0.850572,23.67295,13.455296,30,0,14970,2.75229,1.5,1.5,12.8,14.8,13.8,6.776351,11.457077,11.432328,-0.207035,13.84605,0.475488
106,C3-TP10,1770,2.809524,0.878429,32.40404,13.168084,30,0,18900,3.896491,1.5,1.5,12.5,14.5,13.5,9.333038,11.577401,11.557062,-0.185468,13.525242,0.500253
106,C4-TP9,1832,2.907937,0.881883,30.23969,13.172115,30,0,18900,3.681232,1.5,1.5,12.5,14.5,13.5,8.743608,11.621179,11.611354,-0.17591,13.540737,0.484707
107,C3-TP10,1405,2.248,0.848157,26.907,11.078244,30,0,18750,3.464085,1.5,1.5,10.3,12.3,11.3,7.803757,9.385765,9.406406,-0.406097,11.476088,0.471726
107,C4-TP9,1285,2.056,0.807556,25.72478,11.066194,30,0,18750,3.319758,1.5,1.5,10.3,12.3,11.3,7.48319,8.943969,8.929183,-0.341477,11.460584,0.474233
108,C3-TP10,1387,2.657088,0.710865,24.33951,13.67283,30,0,15660,2.83083,1.5,1.5,13.2,15.2,14.2,6.996466,9.71305,9.726027,-0.406062,14.211999,0.543396
108,C4-TP9,1342,2.570881,0.727936,25.372,13.579318,30,0,15660,2.94133,1.5,1.5,13.2,15.2,14.2,7.259757,9.887481,9.882265,-0.547857,14.160594,0.537117
109,C3-TP10,1120,2.077922,0.817339,16.79711,13.746149,30,0,16170,2.042691,1.5,1.5,13.1,15.1,14.1,4.868638,11.24375,11.226786,-0.047598,14.109584,0.471983
109,C4-TP9,976,1.810761,0.791619,16.02084,13.748026,30,0,16170,2.004253,1.5,1.5,13.1,15.1,14.1,4.660449,10.876025,10.890369,-0.085177,14.120522,0.444853
110,C3-TP10,1709,2.738782,0.850866,40.01356,12.821756,30,0,18720,4.627983,1.5,1.5,12.2,14.2,13.2,11.38944,10.925102,10.89409,-0.339096,13.247974,0.501514
110,C4-TP9,1639,2.626603,0.84432,37.24483,12.847584,30,0,18720,4.294847,1.5,1.5,12.2,14.2,13.2,10.56754,10.845638,10.849298,-0.340074,13.283115,0.481852
111,C3-TP10,1442,2.499133,0.800402,29.57139,12.654005,30,0,17310,3.460963,1.5,1.5,12,14,13,8.422712,10.12552,10.131068,-0.344386,13.095372,0.481764
111,C4-TP9,1439,2.493934,0.793899,29.54687,12.666532,30,0,17310,3.420147,1.5,1.5,12,14,13,8.403595,10.04934,10.062543,-0.445532,13.171921,0.48918
112,C3-TP10,1154,2.227799,0.794922,21.03731,13.771884,30,0,15540,2.502602,1.5,1.5,13.2,15.2,14.2,6.023119,10.958406,10.936742,-0.167707,14.175,0.460973
112,C4-TP9,1159,2.237452,0.780052,19.45522,13.694585,30,0,15540,2.342184,1.5,1.5,13.2,15.2,14.2,5.589516,10.681622,10.683348,-0.136992,14.112016,0.454323
113,C3-TP10,1482,2.744444,0.721815,25.75776,14.103559,30,0,16200,2.964173,1.5,1.5,13.5,15.5,14.5,7.46485,10.178812,10.181511,-0.314657,14.609635,0.560007
113,C4-TP9,1489,2.757407,0.733109,25.77477,14.11506,30,0,16200,2.995065,1.5,1.5,13.5,15.5,14.5,7.481003,10.333781,10.361988,-0.269752,14.612734,0.542983
114,C3-TP10,1384,2.365812,0.799697,15.85466,13.412331,30,0,17550,1.875112,1.5,1.5,12.7,14.7,13.7,4.557811,10.718208,10.733382,-0.080976,13.786707,0.466585
114,C4-TP9,1276,2.181197,0.818433,14.63701,13.377605,30,0,17550,1.700013,1.5,1.5,12.7,14.7,13.7,4.166312,10.971003,10.926332,0.010079,13.705081,0.473036
115,C3-TP10,1712,2.700315,0.905905,28.67512,13.470479,30,0,19020,3.348963,1.5,1.5,12.7,14.7,13.7,8.260078,12.184579,12.221379,-0.222579,13.885428,0.485015
115,C4-TP9,1708,2.694006,0.872722,27.03354,13.413971,30,0,19020,3.18604,1.5,1.5,12.7,14.7,13.7,7.810654,11.707845,11.705504,-0.185334,13.804583,0.493588
116,C3-TP10,1069,2.255274,0.749364,22.16482,13.133684,30,0,14220,2.512576,1.5,1.5,12.5,14.5,13.5,6.306885,9.838167,9.84565,-0.133743,13.521161,0.489
116,C4-TP9,936,1.974684,0.726624,20.27783,13.003588,30,0,14220,2.463312,1.5,1.5,12.5,14.5,13.5,5.858431,9.46047,9.436966,-0.154489,13.410322,0.474774
117,C3-TP10,1704,2.451799,0.819442,25.04596,13.111156,30,0,20850,2.823029,1.5,1.5,12.4,14.4,13.4,7.109785,10.745305,10.742371,-0.303135,13.538955,0.486931
117,C4-TP9,1604,2.307914,0.797319,21.95551,13.056533,30,0,20850,2.571135,1.5,1.5,12.4,14.4,13.4,6.264817,10.410848,10.409601,-0.278568,13.491719,0.46827
118,C3-TP10,1744,2.733542,0.847546,36.17321,13.546938,30,0,19140,4.156701,1.5,1.5,12.7,14.7,13.7,10.40816,11.466743,11.49656,-0.143033,13.903877,0.508196
118,C4-TP9,1742,2.730408,0.835385,26.84658,13.519419,30,0,19140,3.120033,1.5,1.5,12.7,14.7,13.7,7.700228,11.311711,11.276119,-0.121581,13.887411,0.491286
