datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
23,C3-TP10,1264,1.941628,1.355111,138.6514,-522.1229,-279.8941,544.7709,275.0496,0.737947,0.775175,30,19530,-42.00748,79.24199,42.6774,-74.62493,64.02649
23,C4-TP9,1260,1.935484,1.354278,136.3764,-520.154,-284.8014,531.1612,265.9754,0.738401,0.757339,30,19530,-42.14537,78.93799,42.05143,-74.00618,62.37021
24,C3-TP10,633,1.692513,1.371327,131.2039,-499.0106,-271.3294,520.5814,266.2085,0.729221,0.770298,30,11220,-39.38134,75.67672,40.1676,-69.71078,61.49308
24,C4-TP9,645,1.724599,1.362667,130.7407,-510.1157,-276.8762,494.3505,258.3669,0.733855,0.756545,30,11220,-39.54519,75.21503,40.31036,-70.77878,59.96196
25,C3-TP10,939,1.644483,1.226475,138.2613,-596.6338,-337.2374,605.1858,328.7466,0.815345,0.869783,30,17130,-41.76051,77.74183,42.28816,-76.65182,61.60946
25,C4-TP9,1022,1.789842,1.253885,155.082,-657.5212,-375.067,664.8787,363.6438,0.797522,0.836197,30,17130,-46.95331,87.31484,47.48599,-85.1666,69.91537
26,C3-TP10,1175,1.761619,1.264119,140.7616,-567.3523,-317.5171,621.8213,339.1544,0.791065,0.869237,30,20010,-43.87878,82.1242,42.76483,-77.37852,63.38306
26,C4-TP9,1014,1.52024,1.243264,130.9095,-560.5348,-322.1944,576.9036,313.27,0.804334,0.846284,30,20010,-40.67167,75.30806,39.73729,-73.21062,57.69887
27,C3-TP10,822,1.525046,1.388771,142.5639,-584.6603,-316.4021,575.797,309.9113,0.720061,0.791069,30,16170,-42.51009,78.5194,43.24796,-82.11065,60.45322
27,C4-TP9,764,1.41744,1.362984,122.6659,-487.6595,-263.8554,500.7278,260.5706,0.733684,0.794294,30,16170,-38.43186,71.29415,37.18832,-68.16724,54.49864
28,C3-TP10,1220,2.05042,1.280221,154.0042,-653.7231,-367.2389,668.1542,352.7222,0.781115,0.81577,30,17850,-46.89772,88.15353,46.72234,-85.62685,68.3773
