datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
23,C3A2 EEG,733,1.186084,1.26839,153.7528,-668.3456,-368.5616,698.3482,402.8161,0.788401,0.865939,30,18540,-44.93214,82.85755,46.06395,-85.84148,67.91136
23,C4A1 EEG,752,1.216828,1.273138,156.8635,-704.8297,-385.9258,704.1383,396.9738,0.785461,0.842785,30,18540,-46.71805,85.61286,46.7688,-88.50395,68.35954
24,C3A2 EEG,917,1.533445,1.160207,180.3889,-755.9108,-421.4544,843.3027,484.4106,0.861915,0.946356,30,17940,-52.06322,98.29649,54.98375,-97.13678,83.25207
24,C4A1 EEG,909,1.520067,1.169318,175.6225,-737.4028,-405.4005,806.8702,466.8534,0.855199,0.950618,30,17940,-51.97985,97.69048,53.05473,-94.70934,80.91319
25,C3A2 EEG,629,1.373362,1.286868,117.1576,-500.4704,-267.566,518.733,248.9748,0.77708,0.76058,30,13740,-37.94466,73.00493,34.68102,-61.78116,55.37649
25,C4A1 EEG,704,1.537118,1.268267,128.6528,-555.1677,-311.1567,560.5918,276.6523,0.788477,0.773117,30,13740,-41.22598,78.75732,38.08611,-68.59546,60.05732
26,C3A2 EEG,302,0.443465,1.20947,151.5984,-652.5004,-377.1239,664.4761,363.4324,0.826808,0.891066,30,20430,-36.39048,67.94974,45.35291,-81.87841,69.71999
26,C4A1 EEG,300,0.440529,1.203967,146.2092,-624.0985,-342.7666,655.6533,354.4232,0.830588,0.893762,30,20430,-33.5149,63.0638,44.26351,-77.08404,69.12519
27,C3A2 EEG,493,1.151869,1.161846,129.3923,-577.9486,-329.5419,576.7369,315.2024,0.860699,0.896233,30,12840,-41.06874,77.40967,38.98995,-69.70034,59.69192
27,C4A1 EEG,528,1.233645,1.177973,128.7905,-567.3287,-321.1797,565.2714,302.482,0.848916,0.877339,30,12840,-41.57732,79.23042,38.98681,-68.45924,60.33122
28,C3A2 EEG,951,1.850195,1.20184,172.6562,-729.9006,-414.1002,759.6911,440.2754,0.832057,0.890216,30,15420,-53.23739,99.52471,52.43922,-94.93521,77.72097
28,C4A1 EEG,859,1.671206,1.166193,177.302,-750.5298,-426.5402,781.5425,466.4826,0.857491,0.922644,30,15420,-53.87483,100.892,54.25112,-97.4589,79.84306
29,C3A2 EEG,850,1.496479,1.197165,156.3847,-656.4903,-348.1595,731.9916,337.7419,0.835307,0.840187,30,17040,-50.12177,98.28788,46.88758,-79.90375,76.48097
29,C4A1 EEG,852,1.5,1.222465,157.9298,-657.7323,-348.3182,718.6127,334.6048,0.818019,0.825118,30,17040,-50.31716,98.49642,47.26629,-80.911,77.01881
30,C3A2 EEG,1119,1.767773,1.183744,247.1851,-1058.829,-594.4947,1086.996,608.3643,0.844777,0.88593,30,18990,-75.2891,142.2957,75.0031,-133.0959,114.0892
30,C4A1 EEG,1178,1.860979,1.174856,265.2105,-1093.472,-598.1837,1191.985,697.5608,0.851168,0.95802,30,18990,-79.45576,149.4158,81.13402,-142.9859,122.2247
31,C3A2 EEG,957,1.523885,1.200345,208.1666,-761.9674,-410.9799,973.6451,594.2867,0.833094,1.030073,30,18840,-55.12038,103.9912,63.46304,-111.3735,96.7931
31,C4A1 EEG,1008,1.605096,1.195089,181.2557,-683.5499,-371.0918,820.5466,484.5335,0.836758,0.976404,30,18840,-50.61177,96.63402,55.47463,-95.66427,85.59139
32,C3A2 EEG,1013,1.770979,1.18234,201.0111,-791.1986,-447.165,906.7388,556.4439,0.845781,1.012656,30,17160,-57.66329,106.2335,61.66298,-111.922,89.0891
32,C4A1 EEG,1007,1.76049,1.189285,192.5868,-759.0288,-430.4915,878.3238,541.9917,0.840841,1.024624,30,17160,-56.96475,104.6918,58.88225,-107.4648,85.12201
33,C3A2 EEG,914,1.603509,1.214628,158.6106,-639.3202,-368.2002,671.4268,398.5241,0.823297,0.877513,30,17100,-49.4891,91.85235,48.46245,-87.51334,71.09729
33,C4A1 EEG,957,1.678947,1.232069,166.1685,-676.8236,-391.1704,671.5096,396.9848,0.811643,0.869589,30,17100,-53.14578,97.59869,50.79236,-92.45331,73.7152
34,C3A2 EEG,957,1.603015,1.275005,160.3643,-627.694,-331.855,761.1115,425.3302,0.784311,0.911515,30,17910,-46.41441,90.76422,48.20865,-82.43811,77.92622
34,C4A1 EEG,835,1.39866,1.246671,134.1149,-543.9666,-288.9618,646.322,368.765,0.802136,0.926378,30,17910,-39.62246,77.38515,39.95856,-70.57326,63.54166
