datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
15,C4A1 EEG,1183,2.011905,0.746754,35.69466,12.754553,30,0,17640,4.153076,1.5,1.5,12.2,14.2,13.2,10.13057,9.515638,9.53339,-0.471604,13.25892,0.511217
16,C3A2 EEG,1363,2.249175,0.789824,21.92935,13.28342,30,0,18180,2.425556,1.5,1.5,12.7,14.7,13.7,6.182551,10.474688,10.508437,-0.421959,13.795834,0.502156
16,C4A1 EEG,1343,2.216172,0.781929,22.25841,13.278832,30,0,18180,2.453865,1.5,1.5,12.7,14.7,13.7,6.244395,10.37379,10.392405,-0.471424,13.794444,0.495974
17,C3A2 EEG,969,2.172646,0.779009,36.21003,13.437591,30,0,13380,3.72871,1.5,1.5,12.9,14.9,13.9,10.00288,10.468524,10.467492,-0.396093,13.939424,0.496159
17,C4A1 EEG,1039,2.329596,0.791578,36.69559,13.604474,30,0,13380,3.898002,1.5,1.5,12.9,14.9,13.9,10.26775,10.769971,10.768046,-0.319367,14.066367,0.487853
18,C3A2 EEG,1456,2.871795,0.767287,36.8109,13.088429,30,0,15210,4.214664,1.5,1.5,12.4,14.4,13.4,10.54652,10.032967,10.052198,-0.369714,13.562161,0.5607
18,C4A1 EEG,1484,2.927022,0.77223,40.63802,13.086502,30,0,15210,4.598463,1.5,1.5,12.4,14.4,13.4,11.62781,10.090296,10.121294,-0.411909,13.578259,0.556199
19,C3A2 EEG,1323,2.110048,0.804921,29.10623,12.470537,30,0,18810,3.344066,1.5,1.5,12,14,13,8.278308,10.037793,10.037793,-0.08663,12.837392,0.48699
19,C4A1 EEG,1201,1.91547,0.795137,24.55847,12.467538,30,0,18810,2.931864,1.5,1.5,12,14,13,7.016053,9.899251,9.92756,-0.117618,12.826382,0.466605
20,C3A2 EEG,1466,2.326984,0.799768,33.5555,13.290432,30,0,18900,4.038313,1.5,1.5,12.7,14.7,13.7,9.583842,10.630969,10.627558,-0.242179,13.681224,0.459296
20,C4A1 EEG,1560,2.47619,0.824615,38.77008,13.320507,30,0,18900,4.51471,1.5,1.5,12.7,14.7,13.7,10.98963,10.984615,10.983974,-0.284091,13.726641,0.459434
21,C3A2 EEG,1076,1.981584,0.708727,28.87065,13.496112,30,0,16290,3.408402,1.5,1.5,13,15,14,8.352174,9.557621,9.572491,-0.077833,13.885687,0.505472
21,C4A1 EEG,885,1.629834,0.713944,24.48958,13.413206,30,0,16290,2.990981,1.5,1.5,13,15,14,7.043287,9.572881,9.579661,-0.081671,13.811899,0.470926
22,C3A2 EEG,1444,2.367213,0.737569,24.50431,13.457115,30,0,18300,2.621759,1.5,1.5,12.8,14.8,13.8,6.853377,9.923823,9.927285,-0.369134,13.948474,0.525567
22,C4A1 EEG,1340,2.196721,0.743388,23.34826,13.407252,30,0,18300,2.549204,1.5,1.5,12.8,14.8,13.8,6.536241,9.966418,9.967164,-0.518209,13.949374,0.502247
23,C3A2 EEG,1392,2.252427,0.76467,29.80579,13.621973,30,0,18540,3.563946,1.5,1.5,12.9,14.9,13.9,8.596555,10.413793,10.418822,-0.145232,14.024421,0.476694
23,C4A1 EEG,1260,2.038835,0.75096,32.84038,13.615371,30,0,18540,3.918811,1.5,1.5,12.9,14.9,13.9,9.469487,10.226984,10.222222,-0.082747,14.011868,0.492911
24,C3A2 EEG,1298,2.170569,0.753806,28.35762,13.807183,30,0,17940,2.8329,1.5,1.5,13.4,15.4,14.4,7.761023,10.405239,10.410632,-0.44881,14.350062,0.477688
24,C4A1 EEG,1253,2.095318,0.757231,28.24051,13.859466,30,0,17940,2.812619,1.5,1.5,13.4,15.4,14.4,7.726281,10.492418,10.497207,-0.46328,14.398275,0.464078
25,C3A2 EEG,984,2.148472,0.736728,36.53269,12.987971,30,0,13740,4.32925,1.5,1.5,12.3,14.3,13.3,10.51831,9.594512,9.542683,-0.256274,13.417248,0.499376
25,C4A1 EEG,979,2.137555,0.720296,34.40195,12.845839,30,0,13740,4.050417,1.5,1.5,12.3,14.3,13.3,9.856671,9.252298,9.25332,-0.337579,13.301264,0.487575
26,C3A2 EEG,1177,1.728341,0.79842,29.15503,13.638347,30,0,20430,3.299149,1.5,1.5,13,15,14,8.211166,10.88785,10.890399,-0.041903,13.997141,0.464417
26,C4A1 EEG,1100,1.615272,0.789082,29.4079,13.61306,30,0,20430,3.424579,1.5,1.5,13,15,14,8.29578,10.749091,10.734545,-0.066085,13.970936,0.444349
27,C3A2 EEG,830,1.939252,0.713084,20.36424,13.246376,30,0,12840,2.453991,1.5,1.5,12.8,14.8,13.8,5.905783,9.449398,9.442169,-0.148802,13.682579,0.496108
